match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_winner,won_by,margin,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure
1,2022-01-27,"Gaddafi Stadium, Lahore",Karachi Kings,Lahore Qalandars,Group,Karachi Kings,bat,181,5,163,5,Karachi Kings,Runs,18,Mohammad Rizwan,Shoaib Malik,89,Sikandar Raza,5--15
2,2022-01-28,"Dubai International Cricket Stadium, Dubai",Karachi Kings,Quetta Gladiators,Group,Karachi Kings,field,209,8,177,8,Karachi Kings,Runs,32,Wahab Riaz,Mohammad Haris,87,Zaman Khan,4--53
3,2022-01-29,"Arbab Niaz Stadium, Peshawar",Karachi Kings,Peshawar Zalmi,Group,Peshawar Zalmi,bat,157,6,134,4,Karachi Kings,Runs,23,Rovman Powell,Shan Masood,51,Ben Cutting,3--35
4,2022-01-30,"Pindi Cricket Stadium, Rawalpindi",Karachi Kings,Islamabad United,Group,Karachi Kings,field,135,8,149,4,Islamabad United,Wickets,4,James Vince,Rovman Powell,65,Liam Dawson,4--13
5,2022-01-31,"Dubai International Cricket Stadium, Dubai",Karachi Kings,Multan Sultans,Group,Karachi Kings,bat,175,10,131,7,Karachi Kings,Runs,44,Khushdil Shah,Abdullah Shafique,62,Sikandar Raza,2--12
6,2022-02-01,"Dubai International Cricket Stadium, Dubai",Lahore Qalandars,Quetta Gladiators,Group,Lahore Qalandars,field,144,10,117,7,Lahore Qalandars,Runs,27,Mohammad Rizwan,Abdullah Shafique,94,Naseem Shah,1--19
7,2022-02-02,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi,Group,Lahore Qalandars,field,169,8,194,7,Peshawar Zalmi,Wickets,6,Wahab Riaz,Abdullah Shafique,47,Naseem Shah,2--38
8,2022-02-03,"Dubai International Cricket Stadium, Dubai",Lahore Qalandars,Islamabad United,Group,Islamabad United,bat,162,7,184,4,Islamabad United,Wickets,6,Shadab Khan,Usman Khan,59,Liam Dawson,4--17
9,2022-02-04,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans,Group,Lahore Qalandars,field,142,5,130,7,Lahore Qalandars,Runs,12,Shadab Khan,Abdullah Shafique,66,Abbas Afridi,5--30
10,2022-02-05,"Pindi Cricket Stadium, Rawalpindi",Quetta Gladiators,Peshawar Zalmi,Group,Peshawar Zalmi,bat,193,5,144,9,Quetta Gladiators,Runs,49,Mohammad Rizwan,Rovman Powell,76,Shaheen Afridi,5--13
